year,film,category,won,discount
1941,Sergeant York,"WRITING (Original Screenplay) -- Abem Finkel, Harry Chandlee, Howard Koch, John Huston",,
1950,Sunset Blvd.,"ACTOR -- William Holden {""Joe Gillis""}",,
1950,Sunset Blvd.,"ACTOR IN A SUPPORTING ROLE -- Erich von Stroheim {""Max Von Mayerling""}",,
1950,Sunset Blvd.,"ACTRESS -- Gloria Swanson {""Norma Desmond""}",,
1950,Sunset Blvd.,"ACTRESS IN A SUPPORTING ROLE -- Nancy Olson {""Betty Schaefer""}",,
1950,Sunset Blvd.,"ART DIRECTION (Black-and-White) -- Art Direction: Hans Dreier, John Meehan; Set Decoration: Sam Comer, Ray Moyer",won,
1950,Sunset Blvd.,CINEMATOGRAPHY (Black-and-White) -- John F. Seitz,,
1950,Sunset Blvd.,DIRECTING -- Billy Wilder,,
1950,Sunset Blvd.,"FILM EDITING -- Arthur Schmidt, Doane Harrison",,
1950,Sunset Blvd.,MUSIC (Music Score of a Dramatic or Comedy Picture) -- Franz Waxman,won,
1950,Sunset Blvd.,BEST MOTION PICTURE -- Paramount,,
1950,Sunset Blvd.,"WRITING (Story and Screenplay) -- Charles Brackett, Billy Wilder, D. M. Marshman, Jr.",won,
1983,Terms of Endearment,"ACTOR IN A SUPPORTING ROLE -- John Lithgow {""Sam Burns""} ",,
1983,Terms of Endearment,"ACTOR IN A SUPPORTING ROLE -- Jack Nicholson {""Garrett Breedlove""}",won,
1983,Terms of Endearment,"ACTRESS IN A LEADING ROLE -- Shirley MacLaine {""Aurora Greenway""}",won,
1983,Terms of Endearment,"ACTRESS IN A LEADING ROLE -- Debra Winger {""Emma Horton""}",,
1983,Terms of Endearment,"ART DIRECTION -- Art Direction: Polly Platt, Harold Michelson; Set Decoration: Tom Pedigo, Anthony Mondello",,
1983,Terms of Endearment,DIRECTING -- James L. Brooks,won,
1983,Terms of Endearment,FILM EDITING -- Richard Marks,,
1983,Terms of Endearment,MUSIC (Original Score) -- Michael Gore,,
1983,Terms of Endearment,"BEST PICTURE -- James L. Brooks, Producer",won,
1983,Terms of Endearment,"SOUND -- Donald O. Mitchell, Rick Kline, Kevin O'Connell, Jim Alexander",,
1983,Terms of Endearment,WRITING (Screenplay Based on Material from Another Medium) -- James L. Brooks,won,
2004,The Aviator,"ACTOR IN A LEADING ROLE -- Leonardo DiCaprio {""Howard Hughes""}",,
2004,The Aviator,"ACTOR IN A SUPPORTING ROLE -- Alan Alda {""Senator Ralph Owen Brewster""}",,
2004,The Aviator,"ACTRESS IN A SUPPORTING ROLE -- Cate Blanchett {""Katharine Hepburn""}",won,
2004,The Aviator,ART DIRECTION -- Art Direction: Dante Ferretti; Set Decoration: Francesca Lo Schiavo,won,
2004,The Aviator,CINEMATOGRAPHY -- Robert Richardson,won,
2004,The Aviator,COSTUME DESIGN -- Sandy Powell,won,
2004,The Aviator,DIRECTING -- Martin Scorsese,,
2004,The Aviator,FILM EDITING -- Thelma Schoonmaker,won,
2004,The Aviator,"BEST PICTURE -- Michael Mann and Graham King, Producers",,
2004,The Aviator,SOUND MIXING -- Tom Fleischman and Petur Hliddal,,
2004,The Aviator,WRITING (Original Screenplay) -- Written by John Logan,,
1985,The Color Purple,"ACTRESS IN A LEADING ROLE -- Whoopi Goldberg {""Celie""}",,
1985,The Color Purple,"ACTRESS IN A SUPPORTING ROLE -- Margaret Avery {""Shug Avery""}",,
1985,The Color Purple,"ACTRESS IN A SUPPORTING ROLE -- Oprah Winfrey {""Sofia""}",,
1985,The Color Purple,"ART DIRECTION -- Art Direction: J. Michael Riva, Robert W. Welch; Set Decoration: Linda DeScenna",,
1985,The Color Purple,CINEMATOGRAPHY -- Allen Daviau,,
1985,The Color Purple,COSTUME DESIGN -- Aggie Guerard Rodgers,,
1985,The Color Purple,MAKEUP -- Ken Chase,,
1985,The Color Purple,"MUSIC (Original Score) -- Quincy Jones, Jeremy Lubbock, Rod Temperton, Caiphus Semenya, Andrae Crouch, Chris Boardman, Jorge Calandrelli, Joel Rosenbaum, Fred Steiner, Jack Hayes, Jerry Hey, Randy Kerber",,
1985,The Color Purple,"MUSIC (Original Song) -- ""Miss Celie's Blues (Sister),"" Music by Quincy Jones and Rod Temperton; Lyric by Quincy Jones, Rod Temperton and Lionel Richie",,
1985,The Color Purple,"BEST PICTURE -- Steven Spielberg, Kathleen Kennedy, Frank Marshall and Quincy Jones, Producers",,
1985,The Color Purple,WRITING (Screenplay Based on Material from Another Medium) -- Menno Meyjes,,
1972,The Godfather,"ACTOR -- Marlon Brando {""Don Vito Corleone""}",won,
1972,The Godfather,"ACTOR IN A SUPPORTING ROLE -- James Caan {""Sonny Corleone""}",,
1972,The Godfather,"ACTOR IN A SUPPORTING ROLE -- Robert Duvall {""Tom Hagen""}",,
1972,The Godfather,"ACTOR IN A SUPPORTING ROLE -- Al Pacino {""Michael Corleone""}",,
1972,The Godfather,COSTUME DESIGN -- Anna Hill Johnstone,,
1972,The Godfather,DIRECTING -- Francis Ford Coppola,,
1972,The Godfather,"FILM EDITING -- William Reynolds, Peter Zinner",,
1972,The Godfather,MUSIC (Original Dramatic Score) -- Nino Rota,,x
1972,The Godfather,"BEST PICTURE -- Albert S. Ruddy, Producer",won,
1972,The Godfather,"SOUND -- Bud Grenzbach, Richard Portman, Christopher Newman",,
1972,The Godfather,"WRITING (Screenplay--based on material from another medium) -- Mario Puzo, Francis Ford Coppola ",won,
1974,The Godfather Part II,"ACTOR -- Al Pacino {""Michael Corleone""}",,
1974,The Godfather Part II,"ACTOR IN A SUPPORTING ROLE -- Robert De Niro {""Vito Corleone""}",won,
1974,The Godfather Part II,"ACTOR IN A SUPPORTING ROLE -- Michael V. Gazzo {""Frankie Pentangeli""}",,
1974,The Godfather Part II,"ACTOR IN A SUPPORTING ROLE -- Lee Strasberg {""Hyman Roth""}",,
1974,The Godfather Part II,"ACTRESS IN A SUPPORTING ROLE -- Talia Shire {""Connie Corleone""}",,
1974,The Godfather Part II,"ART DIRECTION -- Art Direction: Dean Tavoularis, Angelo Graham; Set Decoration: George R. Nelson",won,
1974,The Godfather Part II,COSTUME DESIGN -- Theadora Van Runkle,,
1974,The Godfather Part II,DIRECTING -- Francis Ford Coppola,won,
1974,The Godfather Part II,"MUSIC (Original Dramatic Score) -- Nino Rota, Carmine Coppola",won,
1974,The Godfather Part II,"BEST PICTURE -- Francis Ford Coppola, Producer; Gray Frederickson and Fred Roos, Co-Producers",won,
1974,The Godfather Part II,"WRITING (Screenplay Adapted from Other Material) -- Francis Ford Coppola, Mario Puzo ",won,
2003,The Lord of the Rings: The Return of the King,ART DIRECTION -- Art Direction: Grant Major; Set Decoration: Dan Hennah and Alan Lee,won,
2003,The Lord of the Rings: The Return of the King,COSTUME DESIGN -- Ngila Dickson and Richard Taylor,won,
2003,The Lord of the Rings: The Return of the King,DIRECTING -- Peter Jackson,won,
2003,The Lord of the Rings: The Return of the King,FILM EDITING -- Jamie Selkirk,won,
2003,The Lord of the Rings: The Return of the King,MAKEUP -- Richard Taylor and Peter King,won,
2003,The Lord of the Rings: The Return of the King,MUSIC (Original Score) -- Howard Shore,won,
2003,The Lord of the Rings: The Return of the King,"MUSIC (Original Song) -- ""Into The West,"" Music and Lyric by Fran Walsh and Howard Shore and Annie Lennox",won,
2003,The Lord of the Rings: The Return of the King,"BEST PICTURE -- Barrie M. Osborne, Peter Jackson and Fran Walsh, Producers",won,
2003,The Lord of the Rings: The Return of the King,"SOUND MIXING -- Christopher Boyes, Michael Semanick, Michael Hedges and Hammond Peek",won,
2003,The Lord of the Rings: The Return of the King,"VISUAL EFFECTS -- Jim Rygiel, Joe Letteri, Randall William Cook and Alex Funke",won,
2003,The Lord of the Rings: The Return of the King,"WRITING (Adapted Screenplay) -- Screenplay by Fran Walsh, Philippa Boyens & Peter Jackson ",won,
1942,The Pride of the Yankees,"ACTOR -- Gary Cooper {""Lou Gehrig""}",,
1942,The Pride of the Yankees,"ACTRESS -- Teresa Wright {""Eleanor Gehrig""}",,
1942,The Pride of the Yankees,ART DIRECTION (Black-and-White) -- Art Direction: Perry Ferguson; Interior Decoration: Howard Bristol,,
1942,The Pride of the Yankees,CINEMATOGRAPHY (Black-and-White) -- Rudolph Maté,,
1942,The Pride of the Yankees,FILM EDITING -- Daniel Mandell,won,
1942,The Pride of the Yankees,MUSIC (Music Score of a Dramatic or Comedy Picture) -- Leigh Harline,,
1942,The Pride of the Yankees,OUTSTANDING MOTION PICTURE -- Samuel Goldwyn Productions,,
1942,The Pride of the Yankees,"SOUND RECORDING -- Samuel Goldwyn Studio Sound Department, Thomas T. Moulton, Sound Director",,
1942,The Pride of the Yankees,"SPECIAL EFFECTS -- Photographic Effects by Jack Cosgrove, Ray Binger; Sound Effects by Thomas T. Moulton",,
1942,The Pride of the Yankees,WRITING (Original Motion Picture Story) -- Paul Gallico,,
1942,The Pride of the Yankees,"WRITING (Screenplay) -- Jo Swerling, Herman J. Mankiewicz",,
1977,The Turning Point,"ACTOR IN A SUPPORTING ROLE -- Mikhail Baryshnikov {""Yuri Kopeikine""}",,
1977,The Turning Point,"ACTRESS IN A LEADING ROLE -- Anne Bancroft {""Emma Jacklin""}",,
1977,The Turning Point,"ACTRESS IN A LEADING ROLE -- Shirley MacLaine {""Deedee Rodgers""}",,
1977,The Turning Point,"ACTRESS IN A SUPPORTING ROLE -- Leslie Browne {""Emilia Rodgers""}",,
1977,The Turning Point,ART DIRECTION -- Art Direction: Albert Brenner; Set Decoration: Marvin March,,
1977,The Turning Point,CINEMATOGRAPHY -- Robert Surtees,,
1977,The Turning Point,DIRECTING -- Herbert Ross,,
1977,The Turning Point,FILM EDITING -- William Reynolds,,
1977,The Turning Point,"BEST PICTURE -- Herbert Ross and Arthur Laurents, Producers",,
1977,The Turning Point,"SOUND -- Theodore Soderberg, Paul Wells, Douglas O. Williams, Jerry Jost",,
1977,The Turning Point,WRITING (Screenplay Written Directly for the Screen--based on factual material or on story material not previously published or produced) -- Arthur Laurents,,
1961,West Side Story,"ACTOR IN A SUPPORTING ROLE -- George Chakiris {""Bernardo""}",won,
1961,West Side Story,"ACTRESS IN A SUPPORTING ROLE -- Rita Moreno {""Anita""}",won,
1961,West Side Story,ART DIRECTION (Color) -- Art Direction: Boris Leven; Set Decoration: Victor A. Gangelin,won,
1961,West Side Story,CINEMATOGRAPHY (Color) -- Daniel L. Fapp,won,
1961,West Side Story,COSTUME DESIGN (Color) -- Irene Sharaff,won,
1961,West Side Story,"DIRECTING -- Robert Wise, Jerome Robbins",won,
1961,West Side Story,FILM EDITING -- Thomas Stanford,won,
1961,West Side Story,"MUSIC (Scoring of a Musical Picture) -- Saul Chaplin, Johnny Green, Sid Ramin, Irwin Kostal",won,
1961,West Side Story,"BEST MOTION PICTURE -- Robert Wise, Producer",won,
1961,West Side Story,"SOUND -- Todd-AO Sound Department, Fred Hynes, Sound Director; and Samuel Goldwyn Studio Sound Department, Gordon E. Sawyer, Sound Director",won,
1961,West Side Story,WRITING (Screenplay--based on material from another medium) -- Ernest Lehman,,
2019,1917,CINEMATOGRAPHY -- Roger Deakins,won,
2019,1917,DIRECTING -- Sam Mendes,,
2019,1917,"MAKEUP AND HAIRSTYLING -- Naomi Donne, Tristan Versluis and Rebecca Cole",,
2019,1917,MUSIC (Original Score) -- Thomas Newman,,
2019,1917,"BEST PICTURE -- Sam Mendes, Pippa Harris, Jayne-Ann Tenggren and Callum McDougall, Producers",,
2019,1917,PRODUCTION DESIGN -- Production Design: Dennis Gassner; Set Decoration: Lee Sandales,,
2019,1917,SOUND EDITING -- Oliver Tarney and Rachael Tate,,
2019,1917,SOUND MIXING -- Mark Taylor and Stuart Wilson,won,
2019,1917,"VISUAL EFFECTS -- Guillaume Rocheron, Greg Butler and Dominic Tuohy",won,
2019,1917,WRITING (Original Screenplay) -- Written by Sam Mendes & Krysty Wilson-Cairns,,
1970,Airport,"ACTRESS IN A SUPPORTING ROLE -- Helen Hayes {""Ada Quonsett""}",,
1970,Airport,"ACTRESS IN A SUPPORTING ROLE -- Maureen Stapleton {""Inez Guerrero""}",won,
1970,Airport,"ART DIRECTION -- Art Direction: Alexander Golitzen, E. Preston Ames; Set Decoration: Jack D. Moore, Mickey S. Michaels",,
1970,Airport,CINEMATOGRAPHY -- Ernest Laszlo,,
1970,Airport,COSTUME DESIGN -- Edith Head,,
1970,Airport,FILM EDITING -- Stuart Gilmore,,
1970,Airport,MUSIC (Original Score) -- Alfred Newman,,
1970,Airport,"BEST PICTURE -- Ross Hunter, Producer",,
1970,Airport,"SOUND -- Ronald Pierce, David Moriarty",,
1970,Airport,WRITING (Screenplay--based on material from another medium) -- George Seaton,,
2013,American Hustle,"ACTOR IN A LEADING ROLE -- Christian Bale {""Irving Rosenfeld""}",,
2013,American Hustle,"ACTOR IN A SUPPORTING ROLE -- Bradley Cooper {""Richie DiMaso""}",,
2013,American Hustle,"ACTRESS IN A LEADING ROLE -- Amy Adams {""Sydney Prosser""}",,
2013,American Hustle,"ACTRESS IN A SUPPORTING ROLE -- Jennifer Lawrence {""Rosalyn Rosenfeld""}",,
2013,American Hustle,COSTUME DESIGN -- Michael Wilkinson,,
2013,American Hustle,DIRECTING -- David O. Russell,,
2013,American Hustle,"FILM EDITING -- Jay Cassidy, Crispin Struthers and Alan Baumgarten",,
2013,American Hustle,"BEST PICTURE -- Charles Roven, Richard Suckle, Megan Ellison and Jonathan Gordon, Producers",,
2013,American Hustle,PRODUCTION DESIGN -- Production Design: Judy Becker; Set Decoration: Heather Loeffler,,
2013,American Hustle,WRITING (Original Screenplay) -- Written by Eric Warren Singer and David O. Russell,,
1969,Anne of the Thousand Days,"ACTOR -- Richard Burton {""King Henry VIII""}",,
1969,Anne of the Thousand Days,"ACTOR IN A SUPPORTING ROLE -- Anthony Quayle {""Cardinal Wolsey""}",,
1969,Anne of the Thousand Days,"ACTRESS -- Genevieve Bujold {""Anne Boleyn""}",,
1969,Anne of the Thousand Days,"ART DIRECTION -- Art Direction: Maurice Carter, Lionel Couch; Set Decoration: Patrick McLoughlin",,
1969,Anne of the Thousand Days,CINEMATOGRAPHY -- Arthur Ibbetson,,
1969,Anne of the Thousand Days,COSTUME DESIGN -- Margaret Furse,won,
1969,Anne of the Thousand Days,MUSIC (Original Score--for a motion picture [not a musical]) -- Georges Delerue,,
1969,Anne of the Thousand Days,"BEST PICTURE -- Hal B. Wallis, Producer",,
1969,Anne of the Thousand Days,SOUND -- John Aldred,,
1969,Anne of the Thousand Days,"WRITING (Screenplay--based on material from another medium) -- Screenplay by John Hale, Bridget Boland; Adaptation by Richard Sokolove",,
1967,Bonnie and Clyde,"ACTOR -- Warren Beatty {""Clyde Barrow""}",,
1967,Bonnie and Clyde,"ACTOR IN A SUPPORTING ROLE -- Gene Hackman {""Buck Barrow""}",,
1967,Bonnie and Clyde,"ACTOR IN A SUPPORTING ROLE -- Michael J. Pollard {""C.W. Moss""}",,
1967,Bonnie and Clyde,"ACTRESS -- Faye Dunaway {""Bonnie Parker""}",,
1967,Bonnie and Clyde,"ACTRESS IN A SUPPORTING ROLE -- Estelle Parsons {""Blanche Barrow""}",won,
1967,Bonnie and Clyde,CINEMATOGRAPHY -- Burnett Guffey,won,
1967,Bonnie and Clyde,COSTUME DESIGN -- Theadora Van Runkle,,
1967,Bonnie and Clyde,DIRECTING -- Arthur Penn,,
1967,Bonnie and Clyde,"BEST PICTURE -- Warren Beatty, Producer",,
1967,Bonnie and Clyde,"WRITING (Story and Screenplay--written directly for the screen) -- David Newman, Robert Benton",,
1995,Braveheart,CINEMATOGRAPHY -- John Toll,won,
1995,Braveheart,COSTUME DESIGN -- Charles Knode,,
1995,Braveheart,DIRECTING -- Mel Gibson,won,
1995,Braveheart,FILM EDITING -- Steven Rosenblum,,
1995,Braveheart,"MAKEUP -- Peter Frampton, Paul Pattison, Lois Burwell",won,
1995,Braveheart,MUSIC (Original Dramatic Score) -- James Horner,,
1995,Braveheart,"BEST PICTURE -- Mel Gibson, Alan Ladd, Jr. and Bruce Davey, Producers",won,
1995,Braveheart,"SOUND -- Andy Nelson, Scott Millan, Anna Behlmer, Brian Simmons",,
1995,Braveheart,"SOUND EFFECTS EDITING -- Lon Bender, Per Hallberg",won,
1995,Braveheart,WRITING (Screenplay Written Directly for the Screen) -- Randall Wallace,,
1991,Bugsby,"ACTOR IN A LEADING ROLE -- Warren Beatty {""Bugsy Siegel""}",,
1991,Bugsby,"ACTOR IN A SUPPORTING ROLE -- Harvey Keitel {""Mickey Cohen""}",,
1991,Bugsby,"ACTOR IN A SUPPORTING ROLE -- Ben Kingsley {""Meyer Lansky""}",,
1991,Bugsby,ART DIRECTION -- Art Direction: Dennis Gassner; Set Decoration: Nancy Haigh,won,
1991,Bugsby,CINEMATOGRAPHY -- Allen Daviau,,
1991,Bugsby,COSTUME DESIGN -- Albert Wolsky,won,
1991,Bugsby,DIRECTING -- Barry Levinson,,
1991,Bugsby,MUSIC (Original Score) -- Ennio Morricone,,
1991,Bugsby,"BEST PICTURE -- Mark Johnson, Barry Levinson and Warren Beatty, Producers",,
1991,Bugsby,WRITING (Screenplay Written Directly for the Screen) -- James Toback,,
1972,Cabaret,"ACTOR IN A SUPPORTING ROLE -- Joel Grey {""The Master of Ceremonies""}",won,
1972,Cabaret,"ACTRESS -- Liza Minnelli {""Sally Bowles""}",won,
1972,Cabaret,"ART DIRECTION -- Art Direction: Rolf Zehetbauer, Jurgen Kiebach; Set Decoration: Herbert Strabel",won,
1972,Cabaret,CINEMATOGRAPHY -- Geoffrey Unsworth,won,
1972,Cabaret,DIRECTING -- Bob Fosse,won,
1972,Cabaret,FILM EDITING -- David Bretherton,won,
1972,Cabaret,MUSIC (Scoring: Adaptation and Original Song Score) -- Adaptation Score by Ralph Burns,won,
1972,Cabaret,"BEST PICTURE -- Cy Feuer, Producer",,
1972,Cabaret,"SOUND -- Robert Knudson, David Hildyard",won,
1972,Cabaret,WRITING (Screenplay--based on material from another medium) -- Jay Allen,,
2000,"Crouching Tiger, Hidden Dragon",ART DIRECTION -- Tim Yip,won,
2000,"Crouching Tiger, Hidden Dragon",CINEMATOGRAPHY -- Peter Pau,won,
2000,"Crouching Tiger, Hidden Dragon",COSTUME DESIGN -- Tim Yip,,
2000,"Crouching Tiger, Hidden Dragon",DIRECTING -- Ang Lee,,
2000,"Crouching Tiger, Hidden Dragon",FILM EDITING -- Tim Squyres,,
2000,"Crouching Tiger, Hidden Dragon",FOREIGN LANGUAGE FILM -- Taiwan,won,
2000,"Crouching Tiger, Hidden Dragon",MUSIC (Original Score) -- Tan Dun,won,
2000,"Crouching Tiger, Hidden Dragon","MUSIC (Original Song) -- ""A Love Before Time,"" Music by Jorge Calandrelli and Tan Dun; Lyric by James Schamus",,
2000,"Crouching Tiger, Hidden Dragon","BEST PICTURE -- Bill Kong, Hsu Li Kong and Ang Lee, Producers",,
2000,"Crouching Tiger, Hidden Dragon",WRITING (Screenplay Based on Material Previously Produced or Published) -- Written by Wang Hui Ling and James Schamus and Tsai Kuo Jung,,
1965,Doctor Zhivago,"ACTOR IN A SUPPORTING ROLE -- Tom Courtenay {""Pasha Antipov/Strelnikoff""}",,
1965,Doctor Zhivago,"ART DIRECTION (Color) -- Art Direction: John Box, Terry Marsh; Set Decoration: Dario Simoni",won,
1965,Doctor Zhivago,CINEMATOGRAPHY (Color) -- Freddie Young,won,
1965,Doctor Zhivago,COSTUME DESIGN (Color) -- Phyllis Dalton,won,
1965,Doctor Zhivago,DIRECTING -- David Lean,,
1965,Doctor Zhivago,FILM EDITING -- Norman Savage,,
1965,Doctor Zhivago,MUSIC (Music Score--substantially original) -- Maurice Jarre,won,
1965,Doctor Zhivago,"BEST PICTURE -- Carlo Ponti, Producer",,
1965,Doctor Zhivago,"SOUND -- Metro-Goldwyn-Mayer British Studio Sound Department, A. W. Watkins, Sound Director; and Metro-Goldwyn-Mayer Studio Sound Department, Franklin E. Milton, Sound Director",,
1965,Doctor Zhivago,WRITING (Screenplay--based on material from another medium) -- Robert Bolt ,won,
2021,Dune,CINEMATOGRAPHY -- Greig Fraser,won,
2021,Dune,COSTUME DESIGN -- Jacqueline West and Robert Morgan,,
2021,Dune,FILM EDITING -- Joe Walker,won,
2021,Dune,"MAKEUP AND HAIRSTYLING -- Donald Mowat, Love Larson and Eva von Bahr",,
2021,Dune,MUSIC (Original Score) -- Hans Zimmer,won,
2021,Dune,"BEST PICTURE -- Mary Parent, Denis Villeneuve and Cale Boyter, Producers",,
2021,Dune,PRODUCTION DESIGN -- Production Design: Patrice Vermette; Set Decoration: Zsuzsanna Sipos,won,
2021,Dune,"SOUND -- Mac Ruth, Mark Mangini, Theo Green, Doug Hemphill and Ron Bartlett",won,
2021,Dune,"VISUAL EFFECTS -- Paul Lambert, Tristan Myles, Brian Connor and Gerd Nefzer",won,
2021,Dune,WRITING (Adapted Screenplay) -- Screenplay by Jon Spaihts and Denis Villeneuve and Eric Roth,,
2002,Gangs of New York,"ACTOR IN A LEADING ROLE -- Daniel Day-Lewis {""Bill 'The Butcher' Cutting""}",,
2002,Gangs of New York,ART DIRECTION -- Art Direction: Dante Ferretti; Set Decoration: Francesca Lo Schiavo,,
2002,Gangs of New York,CINEMATOGRAPHY -- Michael Ballhaus,,
2002,Gangs of New York,COSTUME DESIGN -- Sandy Powell,,
2002,Gangs of New York,DIRECTING -- Martin Scorsese,,
2002,Gangs of New York,FILM EDITING -- Thelma Schoonmaker,,
2002,Gangs of New York,"MUSIC (Original Song) -- ""The Hands That Built America,"" Music and Lyric by Bono, The Edge, Adam Clayton and Larry Mullen",,
2002,Gangs of New York,"BEST PICTURE -- Alberto Grimaldi and Harvey Weinstein, Producers",,
2002,Gangs of New York,"SOUND -- Tom Fleischman, Eugene Gearty, Ivan Sharrock",,
2002,Gangs of New York,WRITING (Original Screenplay) -- Screenplay by Jay Cocks and Steve Zaillian and Kenneth Lonergan; Story by Jay Cocks,,
1956,Giant,"ACTOR -- James Dean {""Jett Rink""}",,
1956,Giant,"ACTOR -- Rock Hudson {""Bick Benedict""}",,
1956,Giant,"ACTRESS IN A SUPPORTING ROLE -- Mercedes McCambridge {""Luz Benedict""}",,
1956,Giant,ART DIRECTION (Color) -- Art Direction: Boris Leven; Set Decoration: Ralph S. Hurst,,
1956,Giant,"COSTUME DESIGN (Color) -- Moss Mabry, Marjorie Best",,
1956,Giant,DIRECTING -- George Stevens,won,
1956,Giant,"FILM EDITING -- William Hornbeck, Philip W. Anderson, Fred Bohanan",,
1956,Giant,MUSIC (Music Score of a Dramatic or Comedy Picture) -- Dimitri Tiomkin,,
1956,Giant,"BEST MOTION PICTURE -- George Stevens and Henry Ginsberg, Producers",,
1956,Giant,"WRITING (Screenplay--Adapted) -- Fred Guiol, Ivan Moffat",,
1944,Going My Way,"ACTOR -- Bing Crosby {""Father O'Malley""}",won,
1944,Going My Way,"ACTOR -- Barry Fitzgerald {""Father Fitzgibbon""}",,
1944,Going My Way,"ACTOR IN A SUPPORTING ROLE -- Barry Fitzgerald {""Father Fitzgibbon""}",won,
1944,Going My Way,CINEMATOGRAPHY (Black-and-White) -- Lionel Lindon,,
1944,Going My Way,DIRECTING -- Leo McCarey,won,
1944,Going My Way,FILM EDITING -- Leroy Stone,,
1944,Going My Way,"MUSIC (Song) -- ""Swinging On A Star,"" Music by James Van Heusen; Lyrics by Johnny Burke",won,
1944,Going My Way,BEST MOTION PICTURE -- Paramount,won,
1944,Going My Way,WRITING (Original Motion Picture Story) -- Leo McCarey,won,
1944,Going My Way,"WRITING (Screenplay) -- Frank Butler, Frank Cavett",won,
2013,Gravity,"ACTRESS IN A LEADING ROLE -- Sandra Bullock {""Ryan Stone""}",,
2013,Gravity,CINEMATOGRAPHY -- Emmanuel Lubezki,won,
2013,Gravity,DIRECTING -- Alfonso Cuarón,won,
2013,Gravity,FILM EDITING -- Alfonso Cuarón and Mark Sanger,won,
2013,Gravity,MUSIC (Original Score) -- Steven Price,won,
2013,Gravity,"BEST PICTURE -- Alfonso Cuarón and David Heyman, Producers",,
2013,Gravity,PRODUCTION DESIGN -- Production Design: Andy Nicholson; Set Decoration: Rosie Goodwin and Joanne Woollard,,
2013,Gravity,SOUND EDITING -- Glenn Freemantle,won,
2013,Gravity,"SOUND MIXING -- Skip Lievsay, Niv Adiri, Christopher Benstead and Chris Munro",won,
2013,Gravity,"VISUAL EFFECTS -- Tim Webber, Chris Lawrence, David Shirk and Neil Corbould ",won,
1967,Guess Who's Coming to Dinner,"ACTOR -- Spencer Tracy {""Matt Drayton""}",,
1967,Guess Who's Coming to Dinner,"ACTOR IN A SUPPORTING ROLE -- Cecil Kellaway {""Monsignor Ryan""}",,
1967,Guess Who's Coming to Dinner,"ACTRESS -- Katharine Hepburn {""Christina Drayton""}",won,
1967,Guess Who's Coming to Dinner,"ACTRESS IN A SUPPORTING ROLE -- Beah Richards {""Mrs. Prentice""}",,
