year,film,category,name,won,discount,role,category2
1977,The Turning Point,WRITING,Arthur Laurents,,,NA,(Screenplay Written Directly for the Screen--based on factual material or on story material not previously published or produced)
1961,West Side Story,ACTOR IN A SUPPORTING ROLE,George Chakiris,won,,"{""Bernardo""}",NA
1961,West Side Story,ACTRESS IN A SUPPORTING ROLE,Rita Moreno,won,,"{""Anita""}",NA
1961,West Side Story,ART DIRECTION,Art Direction: Boris Leven; Set Decoration: Victor A. Gangelin,won,,NA,(Color)
1961,West Side Story,CINEMATOGRAPHY,Daniel L. Fapp,won,,NA,(Color)
1961,West Side Story,COSTUME DESIGN,Irene Sharaff,won,,NA,(Color)
1961,West Side Story,DIRECTING,"Robert Wise, Jerome Robbins",won,,NA,NA
1961,West Side Story,FILM EDITING,Thomas Stanford,won,,NA,NA
1961,West Side Story,MUSIC,"Saul Chaplin, Johnny Green, Sid Ramin, Irwin Kostal",won,,NA,(Scoring of a Musical Picture)
1961,West Side Story,BEST MOTION PICTURE,"Robert Wise, Producer",won,,NA,NA
1961,West Side Story,SOUND,"Todd-AO Sound Department, Fred Hynes, Sound Director; and Samuel Goldwyn Studio Sound Department, Gordon E. Sawyer, Sound Director",won,,NA,NA
1961,West Side Story,WRITING,Ernest Lehman,,,NA,(Screenplay--based on material from another medium)
2019,1917,CINEMATOGRAPHY,Roger Deakins,won,,NA,NA
2019,1917,DIRECTING,Sam Mendes,,,NA,NA
2019,1917,MAKEUP AND HAIRSTYLING,"Naomi Donne, Tristan Versluis and Rebecca Cole",,,NA,NA
2019,1917,MUSIC,Thomas Newman,,,NA,(Original Score)
2019,1917,BEST PICTURE,"Sam Mendes, Pippa Harris, Jayne-Ann Tenggren and Callum McDougall, Producers",,,NA,NA
2019,1917,PRODUCTION DESIGN,Production Design: Dennis Gassner; Set Decoration: Lee Sandales,,,NA,NA
2019,1917,SOUND EDITING,Oliver Tarney and Rachael Tate,,,NA,NA
2019,1917,SOUND MIXING,Mark Taylor and Stuart Wilson,won,,NA,NA
2019,1917,VISUAL EFFECTS,"Guillaume Rocheron, Greg Butler and Dominic Tuohy",won,,NA,NA
2019,1917,WRITING,Written by Sam Mendes & Krysty Wilson-Cairns,,,NA,(Original Screenplay)
1970,Airport,ACTRESS IN A SUPPORTING ROLE,Helen Hayes,,,"{""Ada Quonsett""}",NA
1970,Airport,ACTRESS IN A SUPPORTING ROLE,Maureen Stapleton,won,,"{""Inez Guerrero""}",NA
1970,Airport,ART DIRECTION,"Art Direction: Alexander Golitzen, E. Preston Ames; Set Decoration: Jack D. Moore, Mickey S. Michaels",,,NA,NA
1970,Airport,CINEMATOGRAPHY,Ernest Laszlo,,,NA,NA
1970,Airport,COSTUME DESIGN,Edith Head,,,NA,NA
1970,Airport,FILM EDITING,Stuart Gilmore,,,NA,NA
1970,Airport,MUSIC,Alfred Newman,,,NA,(Original Score)
1970,Airport,BEST PICTURE,"Ross Hunter, Producer",,,NA,NA
1970,Airport,SOUND,"Ronald Pierce, David Moriarty",,,NA,NA
1970,Airport,WRITING,George Seaton,,,NA,(Screenplay--based on material from another medium)
2013,American Hustle,ACTOR IN A LEADING ROLE,Christian Bale,,,"{""Irving Rosenfeld""}",NA
2013,American Hustle,ACTOR IN A SUPPORTING ROLE,Bradley Cooper,,,"{""Richie DiMaso""}",NA
2013,American Hustle,ACTRESS IN A LEADING ROLE,Amy Adams,,,"{""Sydney Prosser""}",NA
2013,American Hustle,ACTRESS IN A SUPPORTING ROLE,Jennifer Lawrence,,,"{""Rosalyn Rosenfeld""}",NA
2013,American Hustle,COSTUME DESIGN,Michael Wilkinson,,,NA,NA
2013,American Hustle,DIRECTING,David O. Russell,,,NA,NA
2013,American Hustle,FILM EDITING,"Jay Cassidy, Crispin Struthers and Alan Baumgarten",,,NA,NA
2013,American Hustle,BEST PICTURE,"Charles Roven, Richard Suckle, Megan Ellison and Jonathan Gordon, Producers",,,NA,NA
2013,American Hustle,PRODUCTION DESIGN,Production Design: Judy Becker; Set Decoration: Heather Loeffler,,,NA,NA
2013,American Hustle,WRITING,Written by Eric Warren Singer and David O. Russell,,,NA,(Original Screenplay)
1969,Anne of the Thousand Days,ACTOR,Richard Burton,,,"{""King Henry VIII""}",NA
1969,Anne of the Thousand Days,ACTOR IN A SUPPORTING ROLE,Anthony Quayle,,,"{""Cardinal Wolsey""}",NA
1969,Anne of the Thousand Days,ACTRESS,Genevieve Bujold,,,"{""Anne Boleyn""}",NA
1969,Anne of the Thousand Days,ART DIRECTION,"Art Direction: Maurice Carter, Lionel Couch; Set Decoration: Patrick McLoughlin",,,NA,NA
1969,Anne of the Thousand Days,CINEMATOGRAPHY,Arthur Ibbetson,,,NA,NA
1969,Anne of the Thousand Days,COSTUME DESIGN,Margaret Furse,won,,NA,NA
1969,Anne of the Thousand Days,MUSIC,Georges Delerue,,,NA,(Original Score--for a motion picture [not a musical])
1969,Anne of the Thousand Days,BEST PICTURE,"Hal B. Wallis, Producer",,,NA,NA
1969,Anne of the Thousand Days,SOUND,John Aldred,,,NA,NA
1969,Anne of the Thousand Days,WRITING,"Screenplay by John Hale, Bridget Boland; Adaptation by Richard Sokolove",,,NA,(Screenplay--based on material from another medium)
1967,Bonnie and Clyde,ACTOR,Warren Beatty,,,"{""Clyde Barrow""}",NA
1967,Bonnie and Clyde,ACTOR IN A SUPPORTING ROLE,Gene Hackman,,,"{""Buck Barrow""}",NA
1967,Bonnie and Clyde,ACTOR IN A SUPPORTING ROLE,Michael J. Pollard,,,"{""C.W. Moss""}",NA
1967,Bonnie and Clyde,ACTRESS,Faye Dunaway,,,"{""Bonnie Parker""}",NA
1967,Bonnie and Clyde,ACTRESS IN A SUPPORTING ROLE,Estelle Parsons,won,,"{""Blanche Barrow""}",NA
1967,Bonnie and Clyde,CINEMATOGRAPHY,Burnett Guffey,won,,NA,NA
1967,Bonnie and Clyde,COSTUME DESIGN,Theadora Van Runkle,,,NA,NA
1967,Bonnie and Clyde,DIRECTING,Arthur Penn,,,NA,NA
1967,Bonnie and Clyde,BEST PICTURE,"Warren Beatty, Producer",,,NA,NA
1967,Bonnie and Clyde,WRITING,"David Newman, Robert Benton",,,NA,(Story and Screenplay--written directly for the screen)
1995,Braveheart,CINEMATOGRAPHY,John Toll,won,,NA,NA
1995,Braveheart,COSTUME DESIGN,Charles Knode,,,NA,NA
1995,Braveheart,DIRECTING,Mel Gibson,won,,NA,NA
1995,Braveheart,FILM EDITING,Steven Rosenblum,,,NA,NA
1995,Braveheart,MAKEUP,"Peter Frampton, Paul Pattison, Lois Burwell",won,,NA,NA
1995,Braveheart,MUSIC,James Horner,,,NA,(Original Dramatic Score)
1995,Braveheart,BEST PICTURE,"Mel Gibson, Alan Ladd, Jr. and Bruce Davey, Producers",won,,NA,NA
1995,Braveheart,SOUND,"Andy Nelson, Scott Millan, Anna Behlmer, Brian Simmons",,,NA,NA
1995,Braveheart,SOUND EFFECTS EDITING,"Lon Bender, Per Hallberg",won,,NA,NA
1995,Braveheart,WRITING,Randall Wallace,,,NA,(Screenplay Written Directly for the Screen)
1991,Bugsby,ACTOR IN A LEADING ROLE,Warren Beatty,,,"{""Bugsy Siegel""}",NA
1991,Bugsby,ACTOR IN A SUPPORTING ROLE,Harvey Keitel,,,"{""Mickey Cohen""}",NA
1991,Bugsby,ACTOR IN A SUPPORTING ROLE,Ben Kingsley,,,"{""Meyer Lansky""}",NA
1991,Bugsby,ART DIRECTION,Art Direction: Dennis Gassner; Set Decoration: Nancy Haigh,won,,NA,NA
1991,Bugsby,CINEMATOGRAPHY,Allen Daviau,,,NA,NA
1991,Bugsby,COSTUME DESIGN,Albert Wolsky,won,,NA,NA
1991,Bugsby,DIRECTING,Barry Levinson,,,NA,NA
1991,Bugsby,MUSIC,Ennio Morricone,,,NA,(Original Score)
1991,Bugsby,BEST PICTURE,"Mark Johnson, Barry Levinson and Warren Beatty, Producers",,,NA,NA
1991,Bugsby,WRITING,James Toback,,,NA,(Screenplay Written Directly for the Screen)
1972,Cabaret,ACTOR IN A SUPPORTING ROLE,Joel Grey,won,,"{""The Master of Ceremonies""}",NA
1972,Cabaret,ACTRESS,Liza Minnelli,won,,"{""Sally Bowles""}",NA
1972,Cabaret,ART DIRECTION,"Art Direction: Rolf Zehetbauer, Jurgen Kiebach; Set Decoration: Herbert Strabel",won,,NA,NA
1972,Cabaret,CINEMATOGRAPHY,Geoffrey Unsworth,won,,NA,NA
1972,Cabaret,DIRECTING,Bob Fosse,won,,NA,NA
1972,Cabaret,FILM EDITING,David Bretherton,won,,NA,NA
1972,Cabaret,MUSIC,Adaptation Score by Ralph Burns,won,,NA,(Scoring: Adaptation and Original Song Score)
1972,Cabaret,BEST PICTURE,"Cy Feuer, Producer",,,NA,NA
1972,Cabaret,SOUND,"Robert Knudson, David Hildyard",won,,NA,NA
1972,Cabaret,WRITING,Jay Allen,,,NA,(Screenplay--based on material from another medium)
2000,"Crouching Tiger, Hidden Dragon",ART DIRECTION,Tim Yip,won,,NA,NA
2000,"Crouching Tiger, Hidden Dragon",CINEMATOGRAPHY,Peter Pau,won,,NA,NA
2000,"Crouching Tiger, Hidden Dragon",COSTUME DESIGN,Tim Yip,,,NA,NA
2000,"Crouching Tiger, Hidden Dragon",DIRECTING,Ang Lee,,,NA,NA
2000,"Crouching Tiger, Hidden Dragon",FILM EDITING,Tim Squyres,,,NA,NA
2000,"Crouching Tiger, Hidden Dragon",FOREIGN LANGUAGE FILM,Taiwan,won,,NA,NA
2000,"Crouching Tiger, Hidden Dragon",MUSIC,Tan Dun,won,,NA,(Original Score)
2000,"Crouching Tiger, Hidden Dragon",MUSIC,"""A Love Before Time,"" Music by Jorge Calandrelli and Tan Dun; Lyric by James Schamus",,,NA,(Original Song)
2000,"Crouching Tiger, Hidden Dragon",BEST PICTURE,"Bill Kong, Hsu Li Kong and Ang Lee, Producers",,,NA,NA
2000,"Crouching Tiger, Hidden Dragon",WRITING,Written by Wang Hui Ling and James Schamus and Tsai Kuo Jung,,,NA,(Screenplay Based on Material Previously Produced or Published)
1965,Doctor Zhivago,ACTOR IN A SUPPORTING ROLE,Tom Courtenay,,,"{""Pasha Antipov/Strelnikoff""}",NA
1965,Doctor Zhivago,ART DIRECTION,"Art Direction: John Box, Terry Marsh; Set Decoration: Dario Simoni",won,,NA,(Color)
1965,Doctor Zhivago,CINEMATOGRAPHY,Freddie Young,won,,NA,(Color)
1965,Doctor Zhivago,COSTUME DESIGN,Phyllis Dalton,won,,NA,(Color)
1965,Doctor Zhivago,DIRECTING,David Lean,,,NA,NA
1965,Doctor Zhivago,FILM EDITING,Norman Savage,,,NA,NA
1965,Doctor Zhivago,MUSIC,Maurice Jarre,won,,NA,(Music Score--substantially original)
1965,Doctor Zhivago,BEST PICTURE,"Carlo Ponti, Producer",,,NA,NA
1965,Doctor Zhivago,SOUND,"Metro-Goldwyn-Mayer British Studio Sound Department, A. W. Watkins, Sound Director; and Metro-Goldwyn-Mayer Studio Sound Department, Franklin E. Milton, Sound Director",,,NA,NA
1965,Doctor Zhivago,WRITING,Robert Bolt ,won,,NA,(Screenplay--based on material from another medium)
2021,Dune,CINEMATOGRAPHY,Greig Fraser,won,,NA,NA
2021,Dune,COSTUME DESIGN,Jacqueline West and Robert Morgan,,,NA,NA
2021,Dune,FILM EDITING,Joe Walker,won,,NA,NA
2021,Dune,MAKEUP AND HAIRSTYLING,"Donald Mowat, Love Larson and Eva von Bahr",,,NA,NA
2021,Dune,MUSIC,Hans Zimmer,won,,NA,(Original Score)
2021,Dune,BEST PICTURE,"Mary Parent, Denis Villeneuve and Cale Boyter, Producers",,,NA,NA
2021,Dune,PRODUCTION DESIGN,Production Design: Patrice Vermette; Set Decoration: Zsuzsanna Sipos,won,,NA,NA
2021,Dune,SOUND,"Mac Ruth, Mark Mangini, Theo Green, Doug Hemphill and Ron Bartlett",won,,NA,NA
2021,Dune,VISUAL EFFECTS,"Paul Lambert, Tristan Myles, Brian Connor and Gerd Nefzer",won,,NA,NA
2021,Dune,WRITING,Screenplay by Jon Spaihts and Denis Villeneuve and Eric Roth,,,NA,(Adapted Screenplay)
2002,Gangs of New York,ACTOR IN A LEADING ROLE,Daniel Day-Lewis,,,"{""Bill 'The Butcher' Cutting""}",NA
2002,Gangs of New York,ART DIRECTION,Art Direction: Dante Ferretti; Set Decoration: Francesca Lo Schiavo,,,NA,NA
2002,Gangs of New York,CINEMATOGRAPHY,Michael Ballhaus,,,NA,NA
2002,Gangs of New York,COSTUME DESIGN,Sandy Powell,,,NA,NA
2002,Gangs of New York,DIRECTING,Martin Scorsese,,,NA,NA
2002,Gangs of New York,FILM EDITING,Thelma Schoonmaker,,,NA,NA
2002,Gangs of New York,MUSIC,"""The Hands That Built America,"" Music and Lyric by Bono, The Edge, Adam Clayton and Larry Mullen",,,NA,(Original Song)
2002,Gangs of New York,BEST PICTURE,"Alberto Grimaldi and Harvey Weinstein, Producers",,,NA,NA
2002,Gangs of New York,SOUND,"Tom Fleischman, Eugene Gearty, Ivan Sharrock",,,NA,NA
2002,Gangs of New York,WRITING,Screenplay by Jay Cocks and Steve Zaillian and Kenneth Lonergan; Story by Jay Cocks,,,NA,(Original Screenplay)
1956,Giant,ACTOR,James Dean,,,"{""Jett Rink""}",NA
1956,Giant,ACTOR,Rock Hudson,,,"{""Bick Benedict""}",NA
1956,Giant,ACTRESS IN A SUPPORTING ROLE,Mercedes McCambridge,,,"{""Luz Benedict""}",NA
1956,Giant,ART DIRECTION,Art Direction: Boris Leven; Set Decoration: Ralph S. Hurst,,,NA,(Color)
1956,Giant,COSTUME DESIGN,"Moss Mabry, Marjorie Best",,,NA,(Color)
1956,Giant,DIRECTING,George Stevens,won,,NA,NA
1956,Giant,FILM EDITING,"William Hornbeck, Philip W. Anderson, Fred Bohanan",,,NA,NA
1956,Giant,MUSIC,Dimitri Tiomkin,,,NA,(Music Score of a Dramatic or Comedy Picture)
1956,Giant,BEST MOTION PICTURE,"George Stevens and Henry Ginsberg, Producers",,,NA,NA
1956,Giant,WRITING,"Fred Guiol, Ivan Moffat",,,NA,(Screenplay--Adapted)
1944,Going My Way,ACTOR,Bing Crosby,won,,"{""Father O'Malley""}",NA
1944,Going My Way,ACTOR,Barry Fitzgerald,,,"{""Father Fitzgibbon""}",NA
1944,Going My Way,ACTOR IN A SUPPORTING ROLE,Barry Fitzgerald,won,,"{""Father Fitzgibbon""}",NA
1944,Going My Way,CINEMATOGRAPHY,Lionel Lindon,,,NA,(Black-and-White)
1944,Going My Way,DIRECTING,Leo McCarey,won,,NA,NA
1944,Going My Way,FILM EDITING,Leroy Stone,,,NA,NA
1944,Going My Way,MUSIC,"""Swinging On A Star,"" Music by James Van Heusen; Lyrics by Johnny Burke",won,,NA,(Song)
1944,Going My Way,BEST MOTION PICTURE,Paramount,won,,NA,NA
1944,Going My Way,WRITING,Leo McCarey,won,,NA,(Original Motion Picture Story)
1944,Going My Way,WRITING,"Frank Butler, Frank Cavett",won,,NA,(Screenplay)
2013,Gravity,ACTRESS IN A LEADING ROLE,Sandra Bullock,,,"{""Ryan Stone""}",NA
2013,Gravity,CINEMATOGRAPHY,Emmanuel Lubezki,won,,NA,NA
2013,Gravity,DIRECTING,Alfonso Cuarón,won,,NA,NA
2013,Gravity,FILM EDITING,Alfonso Cuarón and Mark Sanger,won,,NA,NA
2013,Gravity,MUSIC,Steven Price,won,,NA,(Original Score)
2013,Gravity,BEST PICTURE,"Alfonso Cuarón and David Heyman, Producers",,,NA,NA
2013,Gravity,PRODUCTION DESIGN,Production Design: Andy Nicholson; Set Decoration: Rosie Goodwin and Joanne Woollard,,,NA,NA
2013,Gravity,SOUND EDITING,Glenn Freemantle,won,,NA,NA
2013,Gravity,SOUND MIXING,"Skip Lievsay, Niv Adiri, Christopher Benstead and Chris Munro",won,,NA,NA
2013,Gravity,VISUAL EFFECTS,"Tim Webber, Chris Lawrence, David Shirk and Neil Corbould ",won,,NA,NA
1967,Guess Who's Coming to Dinner,ACTOR,Spencer Tracy,,,"{""Matt Drayton""}",NA
1967,Guess Who's Coming to Dinner,ACTOR IN A SUPPORTING ROLE,Cecil Kellaway,,,"{""Monsignor Ryan""}",NA
1967,Guess Who's Coming to Dinner,ACTRESS,Katharine Hepburn,won,,"{""Christina Drayton""}",NA
1967,Guess Who's Coming to Dinner,ACTRESS IN A SUPPORTING ROLE,Beah Richards,,,"{""Mrs. Prentice""}",NA
1967,Guess Who's Coming to Dinner,ART DIRECTION,Art Direction: Robert Clatworthy; Set Decoration: Frank Tuttle,,,NA,NA
1967,Guess Who's Coming to Dinner,DIRECTING,Stanley Kramer,,,NA,NA
1967,Guess Who's Coming to Dinner,FILM EDITING,Robert C. Jones,,,NA,NA
1967,Guess Who's Coming to Dinner,MUSIC,DeVol,,,NA,(Scoring of Music--adaptation or treatment)
1967,Guess Who's Coming to Dinner,BEST PICTURE,"Stanley Kramer, Producer",,,NA,NA
1967,Guess Who's Coming to Dinner,WRITING,William Rose ,won,,NA,(Story and Screenplay--written directly for the screen)
1941,How Green Was My Valley,ACTOR IN A SUPPORTING ROLE,Donald Crisp,won,,"{""Mr. Morgan""}",NA
1941,How Green Was My Valley,ACTRESS IN A SUPPORTING ROLE,Sara Allgood,,,"{""Mrs. Morgan""}",NA
1941,How Green Was My Valley,ART DIRECTION,"Art Direction: Richard Day, Nathan Juran; Interior Decoration: Thomas Little",won,,NA,(Black-and-White)
1941,How Green Was My Valley,CINEMATOGRAPHY,Arthur Miller,won,,NA,(Black-and-White)
1941,How Green Was My Valley,DIRECTING,John Ford,won,,NA,NA
1941,How Green Was My Valley,FILM EDITING,James B. Clark,,,NA,NA
1941,How Green Was My Valley,MUSIC,Alfred Newman,,,NA,(Music Score of a Dramatic Picture)
1941,How Green Was My Valley,OUTSTANDING MOTION PICTURE,20th Century-Fox,won,,NA,NA
1941,How Green Was My Valley,SOUND RECORDING,"20th Century-Fox Studio Sound Department, E. H. Hansen, Sound Director",,,NA,NA
1941,How Green Was My Valley,WRITING,Philip Dunne,,,NA,(Screenplay)
1962,Lawrence of Arabia,ACTOR,Peter O'Toole,,,"{""T.E. Lawrence""}",NA
1962,Lawrence of Arabia,ACTOR IN A SUPPORTING ROLE,Omar Sharif,,,"{""Sherif Ali ibn el Kharish""}",NA
1962,Lawrence of Arabia,ART DIRECTION,"Art Direction: John Box, John Stoll; Set Decoration: Dario Simoni",won,,NA,(Color)
1962,Lawrence of Arabia,CINEMATOGRAPHY,Fred A. Young,won,,NA,(Color)
1962,Lawrence of Arabia,DIRECTING,David Lean,won,,NA,NA
1962,Lawrence of Arabia,FILM EDITING,Anne Coates,won,,NA,NA
1962,Lawrence of Arabia,MUSIC,Maurice Jarre,won,,NA,(Music Score--substantially original)
1962,Lawrence of Arabia,BEST PICTURE,"Sam Spiegel, Producer",won,,NA,NA
1962,Lawrence of Arabia,SOUND,"Shepperton Studio Sound Department, John Cox, Sound Director",won,,NA,NA
1962,Lawrence of Arabia,WRITING,"Robert Bolt, Michael Wilson",,,NA,(Screenplay--based on material from another medium)
2015,Mad Max: Fury Road,CINEMATOGRAPHY,John Seale,,,NA,NA
2015,Mad Max: Fury Road,COSTUME DESIGN,Jenny Beavan,won,,NA,NA
2015,Mad Max: Fury Road,DIRECTING,George Miller,,,NA,NA
2015,Mad Max: Fury Road,FILM EDITING,Margaret Sixel,won,,NA,NA
2015,Mad Max: Fury Road,MAKEUP AND HAIRSTYLING,"Lesley Vanderwalt, Elka Wardega and Damian Martin",won,,NA,NA
2015,Mad Max: Fury Road,BEST PICTURE,"Doug Mitchell and George Miller, Producers",,,NA,NA
2015,Mad Max: Fury Road,PRODUCTION DESIGN,Production Design: Colin Gibson; Set Decoration: Lisa Thompson,won,,NA,NA
2015,Mad Max: Fury Road,SOUND EDITING,Mark Mangini and David White,won,,NA,NA
2015,Mad Max: Fury Road,SOUND MIXING,"Chris Jenkins, Gregg Rudloff and Ben Osmo",won,,NA,NA
2015,Mad Max: Fury Road,VISUAL EFFECTS,"Andrew Jackson, Tom Wood, Dan Oliver and Andy Williams",,,NA,NA
2020,Mank,ACTOR IN A LEADING ROLE,Gary Oldman,,,"{""Herman Mankiewicz""}",NA
2020,Mank,ACTRESS IN A SUPPORTING ROLE,Amanda Seyfried,,,"{""Marion Davies""}",NA
2020,Mank,CINEMATOGRAPHY,Erik Messerschmidt,won,,NA,NA
2020,Mank,COSTUME DESIGN,Trish Summerville,,,NA,NA
2020,Mank,DIRECTING,David Fincher,,,NA,NA
2020,Mank,MAKEUP AND HAIRSTYLING,"Gigi Williams, Kimberley Spiteri and Colleen LaBaff",,,NA,NA
2020,Mank,MUSIC,Trent Reznor and Atticus Ross,,,NA,(Original Score)
2020,Mank,BEST PICTURE,"Ceán Chaffin, Eric Roth and Douglas Urbanski, Producers",,,NA,NA
2020,Mank,PRODUCTION DESIGN,Production Design: Donald Graham Burt; Set Decoration: Jan Pascale,won,,NA,NA
2020,Mank,SOUND,"Ren Klyce, Jeremy Molod, David Parker, Nathan Nance and Drew Kunin",,,NA,NA
2003,Master and Commander: The Far Side of the World,ART DIRECTION,Art Direction: William Sandell; Set Decoration: Robert Gould,,,NA,NA
2003,Master and Commander: The Far Side of the World,CINEMATOGRAPHY,Russell Boyd,won,,NA,NA
2003,Master and Commander: The Far Side of the World,COSTUME DESIGN,Wendy Stites,,,NA,NA
2003,Master and Commander: The Far Side of the World,DIRECTING,Peter Weir,,,NA,NA
2003,Master and Commander: The Far Side of the World,FILM EDITING,Lee Smith,,,NA,NA
2003,Master and Commander: The Far Side of the World,MAKEUP,Edouard Henriques III and Yolanda Toussieng,,,NA,NA
