year,film,category,name,won,discount,role,category2
2003,Master and Commander: The Far Side of the World,BEST PICTURE,"Samuel Goldwyn, Jr., Peter Weir and Duncan Henderson, Producers",,,NA,NA
2003,Master and Commander: The Far Side of the World,SOUND EDITING,Richard King,won,,NA,NA
2003,Master and Commander: The Far Side of the World,SOUND MIXING,"Paul Massey, D.M. Hemphill and Arthur Rochester",,,NA,NA
2003,Master and Commander: The Far Side of the World,VISUAL EFFECTS,"Dan Sudick, Stefen Fangmeier, Nathan McGuinness and Robert Stromberg",,,NA,NA
1976,Network,ACTOR IN A LEADING ROLE,Peter Finch,won,,"{""Howard Beale""}",NA
1976,Network,ACTOR IN A LEADING ROLE,William Holden,,,"{""Max Schumacher""}",NA
1976,Network,ACTOR IN A SUPPORTING ROLE,Ned Beatty,,,"{""Arthur Jensen""}",NA
1976,Network,ACTRESS IN A LEADING ROLE,Faye Dunaway,won,,"{""Diana Christensen""}",NA
1976,Network,ACTRESS IN A SUPPORTING ROLE,Beatrice Straight,won,,"{""Louise Schumacher""}",NA
1976,Network,CINEMATOGRAPHY,Owen Roizman,,,NA,NA
1976,Network,DIRECTING,Sidney Lumet,,,NA,NA
1976,Network,FILM EDITING,Alan Heim,,,NA,NA
1976,Network,BEST PICTURE,"Howard Gottfried, Producer",,,NA,NA
1976,Network,WRITING,Paddy Chayefsky ,won,,NA,(Screenplay Written Directly for the Screen--based on factual material or on story material not previously published or produced)
1981,On Golden Pond,ACTOR IN A LEADING ROLE,Henry Fonda,won,,"{""Norman Thayer, Jr.""}",NA
1981,On Golden Pond,ACTRESS IN A LEADING ROLE,Katharine Hepburn,won,,"{""Ethel Thayer""}",NA
1981,On Golden Pond,ACTRESS IN A SUPPORTING ROLE,Jane Fonda,,,"{""Chelsea Thayer Wayne""}",NA
1981,On Golden Pond,CINEMATOGRAPHY,Billy Williams,,,NA,NA
1981,On Golden Pond,DIRECTING,Mark Rydell,,,NA,NA
1981,On Golden Pond,FILM EDITING,Robert L. Wolfe,,,NA,NA
1981,On Golden Pond,MUSIC,Dave Grusin,,,NA,(Original Score)
1981,On Golden Pond,BEST PICTURE,"Bruce Gilbert, Producer",,,NA,NA
1981,On Golden Pond,SOUND,"Richard Portman, David Ronne",,,NA,NA
1981,On Golden Pond,WRITING,Ernest Thompson ,won,,NA,(Screenplay Based on Material from Another Medium)
2019,Once upon a Time...in Hollywood,ACTOR IN A LEADING ROLE,Leonardo DiCaprio,,,"{""Rick Dalton""}",NA
2019,Once upon a Time...in Hollywood,ACTOR IN A SUPPORTING ROLE,Brad Pitt,won,,"{""Cliff Booth""}",NA
2019,Once upon a Time...in Hollywood,CINEMATOGRAPHY,Robert Richardson,,,NA,NA
2019,Once upon a Time...in Hollywood,COSTUME DESIGN,Arianne Phillips,,,NA,NA
2019,Once upon a Time...in Hollywood,DIRECTING,Quentin Tarantino,,,NA,NA
2019,Once upon a Time...in Hollywood,BEST PICTURE,"David Heyman, Shannon McIntosh and Quentin Tarantino, Producers",,,NA,NA
2019,Once upon a Time...in Hollywood,PRODUCTION DESIGN,Production Design: Barbara Ling; Set Decoration: Nancy Haigh,won,,NA,NA
2019,Once upon a Time...in Hollywood,SOUND EDITING,Wylie Stateman,,,NA,NA
2019,Once upon a Time...in Hollywood,SOUND MIXING,"Michael Minkler, Christian P. Minkler and Mark Ulano",,,NA,NA
2019,Once upon a Time...in Hollywood,WRITING,Written by Quentin Tarantino,,,NA,(Original Screenplay)
1970,Patton,ACTOR,George C. Scott,won,,"{""General George S. Patton, Jr.""}",NA
1970,Patton,ART DIRECTION,"Art Direction: Urie McCleary, Gil Parrondo; Set Decoration: Antonio Mateos, Pierre-Louis Thevenet",won,,NA,NA
1970,Patton,CINEMATOGRAPHY,Fred Koenekamp,,,NA,NA
1970,Patton,DIRECTING,Franklin J. Schaffner,won,,NA,NA
1970,Patton,FILM EDITING,Hugh S. Fowler,won,,NA,NA
1970,Patton,MUSIC,Jerry Goldsmith,,,NA,(Original Score)
1970,Patton,BEST PICTURE,"Frank McCarthy, Producer",won,,NA,NA
1970,Patton,SOUND,"Douglas Williams, Don Bassman",won,,NA,NA
1970,Patton,SPECIAL VISUAL EFFECTS,Alex Weldon,,,NA,NA
1970,Patton,WRITING,"Francis Ford Coppola, Edmund H. North ",won,,NA,(Story and Screenplay--based on factual material or material not previously published or produced)
1976,Rocky,ACTOR IN A LEADING ROLE,Sylvester Stallone,,,"{""Rocky Balboa""}",NA
1976,Rocky,ACTOR IN A SUPPORTING ROLE,Burgess Meredith,,,"{""Mickey""}",NA
1976,Rocky,ACTOR IN A SUPPORTING ROLE,Burt Young,,,"{""Paulie""}",NA
1976,Rocky,ACTRESS IN A LEADING ROLE,Talia Shire,,,"{""Adrian""}",NA
1976,Rocky,DIRECTING,John G. Avildsen,won,,NA,NA
1976,Rocky,FILM EDITING,"Richard Halsey, Scott Conrad",won,,NA,NA
1976,Rocky,MUSIC,"""Gonna Fly Now,"" Music by Bill Conti; Lyrics by Carol Connors and Ayn Robbins",,,NA,(Original Song)
1976,Rocky,BEST PICTURE,"Irwin Winkler and Robert Chartoff, Producers",won,,NA,NA
1976,Rocky,SOUND,"Harry Warren Tetrick, William McCaughey, Lyle Burbridge, Bud Alper",,,NA,NA
1976,Rocky,WRITING,Sylvester Stallone,,,NA,(Screenplay Written Directly for the Screen--based on factual material or on story material not previously published or produced)
2018,Roma,ACTRESS IN A LEADING ROLE,Yalitza Aparicio,,,"{""Cleo""}",NA
2018,Roma,ACTRESS IN A SUPPORTING ROLE,Marina de Tavira,,,"{""Sra. Sofia""}",NA
2018,Roma,CINEMATOGRAPHY,Alfonso Cuarón,won,,NA,NA
2018,Roma,DIRECTING,Alfonso Cuarón,won,,NA,NA
2018,Roma,FOREIGN LANGUAGE FILM,Mexico,won,,NA,NA
2018,Roma,BEST PICTURE,"Gabriela Rodríguez and Alfonso Cuarón, Producers",,,NA,NA
2018,Roma,PRODUCTION DESIGN,Production Design: Eugenio Caballero; Set Decoration: Bárbara Enríquez,,,NA,NA
2018,Roma,SOUND EDITING,Sergio Díaz and Skip Lievsay,,,NA,NA
2018,Roma,SOUND MIXING,"Skip Lievsay, Craig Henighan and José Antonio García",,,NA,NA
2018,Roma,WRITING,Written by Alfonso Cuarón,,,NA,(Original Screenplay)
1953,Roman Holiday,ACTOR IN A SUPPORTING ROLE,Eddie Albert,,,"{""Irving Radovich""}",NA
1953,Roman Holiday,ACTRESS,Audrey Hepburn,won,,"{""Princess Anne""}",NA
1953,Roman Holiday,ART DIRECTION,"Art Direction: Hal Pereira, Walter Tyler",,,NA,(Black-and-White)
1953,Roman Holiday,CINEMATOGRAPHY,"Frank Planer, Henri Alekan",,,NA,(Black-and-White)
1953,Roman Holiday,COSTUME DESIGN,Edith Head,won,,NA,(Black-and-White)
1953,Roman Holiday,DIRECTING,William Wyler,,,NA,NA
1953,Roman Holiday,FILM EDITING,Robert Swink,,,NA,NA
1953,Roman Holiday,BEST MOTION PICTURE,"William Wyler, Producer",,,NA,NA
1953,Roman Holiday,WRITING,Dalton Trumbo,won,,NA,(Motion Picture Story)
1953,Roman Holiday,WRITING,"Ian McLellan Hunter, John Dighton",,,NA,(Screenplay)
1957,Sayonara,ACTOR,Marlon Brando,,,"{""Major Lloyd Gruver""}",NA
1957,Sayonara,ACTOR IN A SUPPORTING ROLE,Red Buttons,won,,"{""Joe Kelly""}",NA
1957,Sayonara,ACTRESS IN A SUPPORTING ROLE,Miyoshi Umeki,won,,"{""Katsumi""}",NA
1957,Sayonara,ART DIRECTION,Art Direction: Ted Haworth; Set Decoration: Robert Priestley,won,,NA,NA
1957,Sayonara,CINEMATOGRAPHY,Ellsworth Fredricks,,,NA,NA
1957,Sayonara,DIRECTING,Joshua Logan,,,NA,NA
1957,Sayonara,FILM EDITING,"Arthur P. Schmidt, Philip W. Anderson",,,NA,NA
1957,Sayonara,BEST MOTION PICTURE,"William Goetz, Producer",,,NA,NA
1957,Sayonara,SOUND RECORDING,"Warner Bros. Studio Sound Department, George Groves, Sound Director",won,,NA,NA
1957,Sayonara,WRITING,Paul Osborn,,,NA,(Screenplay--based on material from another medium)
2008,Slumdog Millionaire,CINEMATOGRAPHY,Anthony Dod Mantle,won,,NA,NA
2008,Slumdog Millionaire,DIRECTING,Danny Boyle,won,,NA,NA
2008,Slumdog Millionaire,FILM EDITING,Chris Dickens,won,,NA,NA
2008,Slumdog Millionaire,MUSIC,A.R. Rahman,won,,NA,(Original Score)
2008,Slumdog Millionaire,MUSIC,"""Jai Ho,"" Music by A.R. Rahman; Lyric by Gulzar",won,,NA,(Original Song)
2008,Slumdog Millionaire,MUSIC,"""O Saya,"" Music and Lyric by A.R. Rahman and Maya Arulpragasam",,,NA,(Original Song)
2008,Slumdog Millionaire,BEST PICTURE,"Christian Colson, Producer",won,,NA,NA
2008,Slumdog Millionaire,SOUND EDITING,Glenn Freemantle and Tom Sayers,,,NA,NA
2008,Slumdog Millionaire,SOUND MIXING,"Ian Tapp, Richard Pryke and Resul Pookutty",won,,NA,NA
2008,Slumdog Millionaire,WRITING,Screenplay by Simon Beaufoy ,won,,NA,(Adapted Screenplay)
1977,Star Wars,ACTOR IN A SUPPORTING ROLE,Alec Guinness,,,"{""Ben 'Obi-Wan' Kenobi""}",NA
1977,Star Wars,ART DIRECTION,"Art Direction: John Barry, Norman Reynolds, Leslie Dilley; Set Decoration: Roger Christian",won,,NA,NA
1977,Star Wars,COSTUME DESIGN,John Mollo,won,,NA,NA
1977,Star Wars,DIRECTING,George Lucas,,,NA,NA
1977,Star Wars,FILM EDITING,"Paul Hirsch, Marcia Lucas, Richard Chew",won,,NA,NA
1977,Star Wars,MUSIC,John Williams,won,,NA,(Original Score)
1977,Star Wars,BEST PICTURE,"Gary Kurtz, Producer",,,NA,NA
1977,Star Wars,SOUND,"Don MacDougall, Ray West, Bob Minkler, Derek Ball",won,,NA,NA
1977,Star Wars,VISUAL EFFECTS,"John Stears, John Dykstra, Richard Edlund, Grant McCune, Robert Blalack",won,,NA,NA
1977,Star Wars,WRITING,George Lucas,,,NA,(Screenplay Written Directly for the Screen--based on factual material or on story material not previously published or produced)
1960,The Apartment,ACTOR,Jack Lemmon,,,"{""C.C. 'Bud' Baxter""}",NA
1960,The Apartment,ACTOR IN A SUPPORTING ROLE,Jack Kruschen,,,"{""Dr. Dreyfuss""}",NA
1960,The Apartment,ACTRESS,Shirley MacLaine,,,"{""Fran Kubelik""}",NA
1960,The Apartment,ART DIRECTION,Art Direction: Alexander Trauner; Set Decoration: Edward G. Boyle,won,,NA,(Black-and-White)
1960,The Apartment,CINEMATOGRAPHY,Joseph LaShelle,,,NA,(Black-and-White)
1960,The Apartment,DIRECTING,Billy Wilder,won,,NA,NA
1960,The Apartment,FILM EDITING,Daniel Mandell,won,,NA,NA
1960,The Apartment,BEST MOTION PICTURE,"Billy Wilder, Producer",won,,NA,NA
1960,The Apartment,SOUND,"Samuel Goldwyn Studio Sound Department, Gordon E. Sawyer, Sound Director",,,NA,NA
1960,The Apartment,WRITING,"Billy Wilder, I. A. L. Diamond ",won,,NA,(Story and Screenplay--written directly for the screen)
2011,The Artist,ACTOR IN A LEADING ROLE,Jean Dujardin,won,,"{""George Valentin""}",NA
2011,The Artist,ACTRESS IN A SUPPORTING ROLE,Bérénice Bejo,,,"{""Peppy Miller""}",NA
2011,The Artist,ART DIRECTION,Production Design: Laurence Bennett; Set Decoration: Robert Gould,,,NA,NA
2011,The Artist,CINEMATOGRAPHY,Guillaume Schiffman,,,NA,NA
2011,The Artist,COSTUME DESIGN,Mark Bridges,won,,NA,NA
2011,The Artist,DIRECTING,Michel Hazanavicius,won,,NA,NA
2011,The Artist,FILM EDITING,Anne-Sophie Bion and Michel Hazanavicius,,,NA,NA
2011,The Artist,MUSIC,Ludovic Bource,won,,NA,(Original Score)
2011,The Artist,BEST PICTURE,"Thomas Langmann, Producer",won,,NA,NA
2011,The Artist,WRITING,Written by Michel Hazanavicius,,,NA,(Original Screenplay)
1973,The Exorcist,ACTOR IN A SUPPORTING ROLE,Jason Miller,,,"{""Father Damian Karras""}",NA
1973,The Exorcist,ACTRESS,Ellen Burstyn,,,"{""Chris MacNeil""}",NA
1973,The Exorcist,ACTRESS IN A SUPPORTING ROLE,Linda Blair,,,"{""Regan MacNeil""}",NA
1973,The Exorcist,ART DIRECTION,Art Direction: Bill Malley; Set Decoration: Jerry Wunderlich,,,NA,NA
1973,The Exorcist,CINEMATOGRAPHY,Owen Roizman,,,NA,NA
1973,The Exorcist,DIRECTING,William Friedkin,,,NA,NA
1973,The Exorcist,FILM EDITING,"Jordan Leondopoulos, Bud Smith, Evan Lottman, Norman Gay",,,NA,NA
1973,The Exorcist,BEST PICTURE,"William Peter Blatty, Producer",,,NA,NA
1973,The Exorcist,SOUND,"Robert Knudson, Chris Newman",won,,NA,NA
1973,The Exorcist,WRITING,William Peter Blatty ,won,,NA,(Screenplay--based on material from another medium)
2018,The Favourite,ACTRESS IN A LEADING ROLE,Olivia Colman,won,,"{""Queen Anne""}",NA
2018,The Favourite,ACTRESS IN A SUPPORTING ROLE,Emma Stone,,,"{""Abigail""}",NA
2018,The Favourite,ACTRESS IN A SUPPORTING ROLE,Rachel Weisz,,,"{""Lady Sarah""}",NA
2018,The Favourite,CINEMATOGRAPHY,Robbie Ryan,,,NA,NA
2018,The Favourite,COSTUME DESIGN,Sandy Powell,,,NA,NA
2018,The Favourite,DIRECTING,Yorgos Lanthimos,,,NA,NA
2018,The Favourite,FILM EDITING,Yorgos Mavropsaridis,,,NA,NA
2018,The Favourite,BEST PICTURE,"Ceci Dempsey, Ed Guiney, Lee Magiday and Yorgos Lanthimos, Producers",,,NA,NA
2018,The Favourite,PRODUCTION DESIGN,Production Design: Fiona Crombie; Set Decoration: Alice Felton,,,NA,NA
2018,The Favourite,WRITING,Written by Deborah Davis and Tony McNamara,,,NA,(Original Screenplay)
2019,The Irishman,ACTOR IN A SUPPORTING ROLE,Al Pacino,,,"{""Jimmy Hoffa""}",NA
2019,The Irishman,ACTOR IN A SUPPORTING ROLE,Joe Pesci,,,"{""Russell Bufalino""}",NA
2019,The Irishman,CINEMATOGRAPHY,Rodrigo Prieto,,,NA,NA
2019,The Irishman,COSTUME DESIGN,Sandy Powell and Christopher Peterson,,,NA,NA
2019,The Irishman,DIRECTING,Martin Scorsese,,,NA,NA
2019,The Irishman,FILM EDITING,Thelma Schoonmaker,,,NA,NA
2019,The Irishman,BEST PICTURE,"Martin Scorsese, Robert De Niro, Jane Rosenthal and Emma Tillinger Koskoff, Producers",,,NA,NA
2019,The Irishman,PRODUCTION DESIGN,Production Design: Bob Shaw; Set Decoration: Regina Graves,,,NA,NA
2019,The Irishman,VISUAL EFFECTS,"Pablo Helman, Leandro Estebecorena, Nelson Sepulveda-Fauser and Stephane Grabli",,,NA,NA
2019,The Irishman,WRITING,Screenplay by Steven Zaillian,,,NA,(Adapted Screenplay)
1937,The Life of Emile Zola,ACTOR,Paul Muni,,,"{""Emile Zola""}",NA
1937,The Life of Emile Zola,ACTOR IN A SUPPORTING ROLE,Joseph Schildkraut,won,,"{""Captain Alfred Dreyfus""}",NA
1937,The Life of Emile Zola,ART DIRECTION,Anton Grot,,,NA,NA
1937,The Life of Emile Zola,ASSISTANT DIRECTOR,Russ Saunders,,,NA,NA
1937,The Life of Emile Zola,DIRECTING,William Dieterle,,,NA,NA
1937,The Life of Emile Zola,MUSIC,"Warner Bros. Studio Music Department, Leo Forbstein, head of department (Score by Max Steiner)",,,NA,(Scoring)
1937,The Life of Emile Zola,OUTSTANDING PRODUCTION,Warner Bros.,won,,NA,NA
1937,The Life of Emile Zola,SOUND RECORDING,"Warner Bros. Studio Sound Department, Nathan Levinson, Sound Director",,,NA,NA
1937,The Life of Emile Zola,WRITING,"Heinz Herald, Geza Herczeg",,,NA,(Original Story)
1937,The Life of Emile Zola,WRITING,"Norman Reilly Raine, Heinz Herald, Geza Herczeg",won,,NA,(Screenplay)
1965,The Sound of Music,ACTRESS,Julie Andrews,,,"{""Maria""}",NA
1965,The Sound of Music,ACTRESS IN A SUPPORTING ROLE,Peggy Wood,,,"{""Mother Abbess""}",NA
1965,The Sound of Music,ART DIRECTION,"Art Direction: Boris Leven; Set Decoration: Walter M. Scott, Ruby Levitt",,,NA,(Color)
1965,The Sound of Music,CINEMATOGRAPHY,Ted McCord,,,NA,(Color)
1965,The Sound of Music,COSTUME DESIGN,Dorothy Jeakins,,,NA,(Color)
1965,The Sound of Music,DIRECTING,Robert Wise,won,,NA,NA
1965,The Sound of Music,FILM EDITING,William Reynolds,won,,NA,NA
1965,The Sound of Music,MUSIC,Irwin Kostal,won,,NA,(Scoring of Music--adaptation or treatment)
1965,The Sound of Music,BEST PICTURE,"Robert Wise, Producer",won,,NA,NA
1965,The Sound of Music,SOUND,"20th Century-Fox Studio Sound Department, James P. Corcoran, Sound Director; and Todd-AO Sound Department, Fred Hynes, Sound Director ",won,,NA,NA
1973,The Sting,ACTOR,Robert Redford,,,"{""Johnny Hooker""}",NA
1973,The Sting,ART DIRECTION,Art Direction: Henry Bumstead; Set Decoration: James Payne,won,,NA,NA
1973,The Sting,CINEMATOGRAPHY,Robert Surtees,,,NA,NA
1973,The Sting,COSTUME DESIGN,Edith Head,won,,NA,NA
1973,The Sting,DIRECTING,George Roy Hill,won,,NA,NA
1973,The Sting,FILM EDITING,William Reynolds,won,,NA,NA
1973,The Sting,MUSIC,Adaptation Score by Marvin Hamlisch,won,,NA,(Scoring: Original Song Score and Adaptation -or- Scoring: Adaptation)
1973,The Sting,BEST PICTURE,"Tony Bill, Michael Phillips and Julia Phillips, Producers",won,,NA,NA
1973,The Sting,SOUND,"Ronald K. Pierce, Robert Bertrand",,,NA,NA
1973,The Sting,WRITING,David S. Ward,won,,NA,(Story and Screenplay--based on factual material or material not previously published or produced)
1963,Tom Jones,ACTOR,Albert Finney,,,"{""Tom Jones""}",NA
1963,Tom Jones,ACTOR IN A SUPPORTING ROLE,Hugh Griffith,,,"{""Squire Western""}",NA
1963,Tom Jones,ACTRESS IN A SUPPORTING ROLE,Diane Cilento,,,"{""Molly""}",NA
1963,Tom Jones,ACTRESS IN A SUPPORTING ROLE,Dame Edith Evans,,,"{""Miss Western""}",NA
1963,Tom Jones,ACTRESS IN A SUPPORTING ROLE,Joyce Redman,,,"{""Mrs. Waters""}",NA
1963,Tom Jones,ART DIRECTION,"Art Direction: Ralph Brinton, Ted Marshall, Jocelyn Herbert; Set Decoration: Josie MacAvin",,,NA,(Color)
1963,Tom Jones,DIRECTING,Tony Richardson,won,,NA,NA
1963,Tom Jones,MUSIC,John Addison,won,,NA,(Music Score--substantially original)
1963,Tom Jones,BEST PICTURE,"Tony Richardson, Producer",won,,NA,NA
1963,Tom Jones,WRITING,John Osborne ,won,,NA,(Screenplay--based on material from another medium)
1982,Tootsie,ACTOR IN A LEADING ROLE,Dustin Hoffman,,,"{""Michael Dorsey/Dorothy Michaels""}",NA
1982,Tootsie,ACTRESS IN A SUPPORTING ROLE,Teri Garr,,,"{""Sandy Lester""}",NA
1982,Tootsie,ACTRESS IN A SUPPORTING ROLE,Jessica Lange,won,,"{""Julie Nichols""}",NA
1982,Tootsie,CINEMATOGRAPHY,Owen Roizman,,,NA,NA
1982,Tootsie,DIRECTING,Sydney Pollack,,,NA,NA
1982,Tootsie,FILM EDITING,"Fredric Steinkamp, William Steinkamp",,,NA,NA
1982,Tootsie,MUSIC,"""It Might Be You,"" Music by Dave Grusin; Lyric by Alan Bergman and Marilyn Bergman",,,NA,(Original Song)
1982,Tootsie,BEST PICTURE,"Sydney Pollack and Dick Richards, Producers",,,NA,NA
1982,Tootsie,SOUND,"Arthur Piantadosi, Les Fresholtz, Dick Alexander, Les Lazarowitz",,,NA,NA
1982,Tootsie,WRITING,"Screenplay by Larry Gelbart, Murray Schisgal; Story by Don McGuire, Larry Gelbart",,,NA,(Screenplay Written Directly for the Screen)
2010,True Grit,ACTOR IN A LEADING ROLE,Jeff Bridges,,,"{""Rooster Cogburn""}",NA
2010,True Grit,ACTRESS IN A SUPPORTING ROLE,Hailee Steinfeld,,,"{""Mattie Ross""}",NA
2010,True Grit,ART DIRECTION,Production Design: Jess Gonchor; Set Decoration: Nancy Haigh,,,NA,NA
2010,True Grit,CINEMATOGRAPHY,Roger Deakins,,,NA,NA
2010,True Grit,COSTUME DESIGN,Mary Zophres,,,NA,NA
2010,True Grit,DIRECTING,Joel Coen and Ethan Coen,,,NA,NA
2010,True Grit,BEST PICTURE,"Scott Rudin, Ethan Coen and Joel Coen, Producers",,,NA,NA
2010,True Grit,SOUND EDITING,Skip Lievsay and Craig Berkey,,,NA,NA
2010,True Grit,SOUND MIXING,"Skip Lievsay, Craig Berkey, Greg Orloff and Peter F. Kurland",,,NA,NA
2010,True Grit,WRITING,Written for the screen by Joel Coen & Ethan Coen,,,NA,(Adapted Screenplay)
1944,Wilson,ACTOR,Alexander Knox,,,"{""Woodrow Wilson""}",NA
1944,Wilson,ART DIRECTION,Art Direction: Wiard Ihnen; Interior Decoration: Thomas Little,won,,NA,(Color)
1944,Wilson,CINEMATOGRAPHY,Leon Shamroy,won,,NA,(Color)
1944,Wilson,DIRECTING,Henry King,,,NA,NA
1944,Wilson,FILM EDITING,Barbara McLean,won,,NA,NA
1944,Wilson,MUSIC,Alfred Newman,,,NA,(Music Score of a Dramatic or Comedy Picture)
1944,Wilson,BEST MOTION PICTURE,20th Century-Fox,,,NA,NA
1944,Wilson,SOUND RECORDING,"20th Century-Fox Studio Sound Department, E. H. Hansen, Sound Director",won,,NA,NA
1944,Wilson,SPECIAL EFFECTS,Photographic Effects by Fred Sersen; Sound Effects by Roger Heman,,,NA,NA
1944,Wilson,WRITING,Lamar Trotti,won,,NA,(Original Screenplay)
